"","id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","reviews_per_month","availability_365"
"14015",39855779,"Apartamento Coqueto y Práctico.","Moncloa - Aravaca","Argüelles",40.43163,-3.72041,"Entire home/apt",96,2,0.06,365
"14016",39858092,"Madrid Centro - Latina Plaza Mayor Apartamento","Centro","Palacio",40.41078,-3.71145,"Entire home/apt",66,2,1.65,168
"14017",39863808,"Habitación privada muy cerca del ifema!","Barajas","Corralejos",40.46574,-3.59467,"Private room",85,2,0.23,0
"14018",39864522,"CITY CENTER LUXURY LARGE DOUBLE ROOM CHAMBERI","Chamberí","Arapiles",40.43327,-3.70551,"Private room",150,1,0.06,90
"14019",39865768,"Loft con sofa cama","Chamberí","Gaztambide",40.43437,-3.71329,"Shared room",30,1,0.06,0
"14020",39874236,"Nice Looking Room","Arganzuela","Chopera",40.39564,-3.69875,"Private room",50,1,0,179
"14021",39878443,"Vintage & Stylish - 2BD 1.5BTH - Las Ventas","Salamanca","Fuente del Berro",40.42591,-3.66236,"Entire home/apt",99,1,0.37,319
"14022",39879523,"Modern & Chic 2BR/2BA apartment in trendy Chueca","Centro","Justicia",40.42373,-3.69561,"Entire home/apt",94,1,0.23,196
"14023",39880015,"Hostal Cervelo | Habitación Individual","Centro","Cortes",40.41445,-3.70143,"Private room",59,1,0.15,0
"14024",39881302,"Hostal Cervelo | Habitación Doble","Centro","Cortes",40.41446,-3.69983,"Private room",72,1,0.06,0
"14025",39881320,"LUXURY  SALAMANCA - VELAZQUEZ I","Chamartín","El Viso",40.4411,-3.67976,"Entire home/apt",168,25,0,300
"14026",39881393,"HABITACIÓN PRIVADA EN APARTAMENTO","Puente de Vallecas","Numancia",40.40489,-3.65869,"Private room",40,2,0.12,179
"14027",39881742,"Elegant apartment next to Atocha train station","Arganzuela","Palos de Moguer",40.40528,-3.69446,"Entire home/apt",49,3,1.3,315
"14028",39881941,"Elegant apartment close to plaza castilla & IFMA","Ciudad Lineal","Costillares",40.46912,-3.66503,"Entire home/apt",72,2,0.89,216
"14029",39881952,"Elegant apt close to plaza Castilla & IFEMA","Ciudad Lineal","Costillares",40.47056,-3.66664,"Entire home/apt",51,2,1.13,305
"14030",39882202,"Hostal Cervelo | Habitación Doble 2 camas","Centro","Cortes",40.41397,-3.70011,"Private room",72,1,0,0
"14031",39882241,"Habitación céntrica e 2 camas con balcón","Centro","Palacio",40.40998,-3.71023,"Private room",29,1,0.06,348
"14032",39882270,"Estudio Standar 2 Pax","Centro","Sol",40.41829,-3.70528,"Entire home/apt",61,2,1.67,261
"14033",39882555,"Hostal Cervelo | Habitación Triple","Centro","Cortes",40.41419,-3.69992,"Private room",95,1,0,0
"14034",39882735,"Hostal Cervelo | Habitación Cuádruple","Centro","Cortes",40.41428,-3.70144,"Private room",118,1,0,0
"14035",39883021,"Habitación en centro de Madrid, Interior Amplia.","Centro","Palacio",40.41041,-3.71034,"Private room",29,1,0,197
"14036",39883319,"LAS LETRAS - Nuevo, Limpísimo, Relax en el Patio","Centro","Cortes",40.4129,-3.69571,"Entire home/apt",48,1,1.32,274
"14037",39884337,"Cómodo duplex con entrada independiente y cochera","Salamanca","Guindalera",40.4353,-3.67076,"Entire home/apt",45,2,1.27,0
"14038",39887396,"LAS LETRAS - Encantador, Precioso, Patio - Terraza","Centro","Cortes",40.414,-3.69727,"Entire home/apt",52,1,1.26,274
"14039",39888122,"Vivienda Amplia y  Luminosa en Plaza de Castilla.","Tetuán","Castillejos",40.46487,-3.69294,"Entire home/apt",132,2,0.42,0
"14040",39893761,"Cozy and eclectic room in the center of Madrid","Centro","Palacio",40.40826,-3.71328,"Private room",68,2,0.35,0
"14041",39894822,"Stylish apartment in Arguelles, Madrid City Center","Moncloa - Aravaca","Argüelles",40.43166,-3.72004,"Entire home/apt",225,7,0,0
"14042",39895387,"Confortable y céntrico apartamento en MALASAÑA","Centro","Universidad",40.42446,-3.70465,"Entire home/apt",60,2,0.25,179
"14043",39895515,"Habitación en el centro de Madrid","Centro","Palacio",40.41142,-3.70921,"Private room",100,6,0,83
"14044",39895614,"Apartamento un dormitorio","Tetuán","Valdeacederas",40.46712,-3.69739,"Entire home/apt",44,1,0.06,0
"14045",39896289,"PLAZA DE ESPAÑA - GRAN VÍA - MALASAÑA","Centro","Universidad",40.42473,-3.71008,"Entire home/apt",116,7,0.42,0
"14046",39896941,"Habítacion en Serrano","Salamanca","Castellana",40.43466,-3.68474,"Private room",35,1,0.06,0
"14047",39897890,"Latina-Rastro","Centro","Embajadores",40.40863,-3.70786,"Private room",40,3,0.22,17
"14048",39900721,"Habitación tranquila con baño incluido","Moncloa - Aravaca","Ciudad Universitaria",40.46454,-3.74957,"Private room",25,1,0,365
"14049",39900976,"Luxury Apartment!.... Viva Madrid!","Chamartín","El Viso",40.43816,-3.68381,"Entire home/apt",200,3,0.06,26
"14050",39906184,"Cozy room Sol","Centro","Cortes",40.41437,-3.69915,"Private room",16,15,0,355
"14051",39906896,"Cama paz y armonía es muy luminosa y tranquila","Ciudad Lineal","Ventas",40.42539,-3.65203,"Private room",50,7,0,364
"14052",39906964,"Habitación y terraza privada en centro de Madrid","Arganzuela","Delicias",40.40063,-3.69872,"Private room",41,3,0.18,0
"14053",39907007,"Apto 2 Hab. Zona Bernabéu - Nuevos Ministerio»","Tetuán","Cuatro Caminos",40.45116,-3.70182,"Entire home/apt",82,2,0,364
"14054",39907312,"apartamento lagasca","Salamanca","Recoletos",40.42801,-3.68555,"Entire home/apt",250,3,0.06,0
"14056",39909222,"Habitacion en el centro de madrid muy luminosa","Usera","Almendrales",40.38349,-3.69947,"Private room",22,3,0.07,365
"14057",39909391,"Habitación en Malasaña","Centro","Universidad",40.42636,-3.70464,"Private room",43,2,0.06,89
"14058",39911053,"Comodo sofa-cama, espacio bonito y zona san blas","San Blas - Canillejas","Rosas",40.4327,-3.60665,"Shared room",20,1,0,0
"14059",39911271,"Ritmo, Swing & Jazzy things","Carabanchel","San Isidro",40.39351,-3.73452,"Private room",12,1,0.18,0
"14060",39912403,"Bella Hab para 3 prs a 10 pasos de GRAN VÍA (2/10)","Centro","Universidad",40.4212,-3.70436,"Private room",40,1,1.67,362
"14061",39912805,"Bella Hab para 2 prs a 10 pasos de GRAN VÍA (5/10)","Centro","Universidad",40.4209,-3.70263,"Private room",30,1,1.89,365
"14062",39912825,"Bella Hab para 3 prs a 10 pasos de GRAN VÍA (1/10)","Centro","Universidad",40.42163,-3.70432,"Private room",40,1,2.11,362
"14063",39913478,"Letras cool and quiet , 70 m2, 2 BR, 1BTH, 6 pax","Centro","Cortes",40.41523,-3.70137,"Entire home/apt",111,7,0.98,319
"14064",39913667,"Habitación luminosa cerca de Aeropuerto","Barajas","Timón",40.47112,-3.5842,"Private room",31,1,0.4,0
"14065",39913733,"Retiro","Retiro","Adelfas",40.40617,-3.66997,"Private room",40,1,0,0
"14066",39916688,"Preciosa habitación!! centro de Madrid - Malasaña","Centro","Universidad",40.42702,-3.7041,"Private room",25,1,0.23,48
"14067",39919302,"Habitación tranquila con baño propio","Carabanchel","Vista Alegre",40.38799,-3.73472,"Private room",25,1,0,365
"14068",39921330,"Tribunal-Callao-Sol-Gran Vía-Santo Domingo","Centro","Sol",40.41981,-3.7054,"Private room",51,3,0.06,0
"14069",39921401,"Piso en ventas","Ciudad Lineal","Quintana",40.43286,-3.65186,"Entire home/apt",50,2,0.68,258
"14070",39922052,"Bella Hab para 2 prs a 10 pasos de GRAN VÍA (3/10)","Centro","Universidad",40.42076,-3.70299,"Private room",35,1,1.61,179
"14071",39922312,"Bella Hab para 2 prs a 10 pasos de GRAN VÍA (4/10)","Centro","Universidad",40.42293,-3.70416,"Private room",30,1,1.77,365
"14072",39923218,"Bella Hab para 2 prs a 10 pasos de GRAN VÍA (8/10)","Centro","Universidad",40.42281,-3.70444,"Private room",30,1,2.01,364
"14073",39923973,"Bella Hab para 2 prs a 10 pasos de GRAN VÍA (9/10)","Centro","Universidad",40.42094,-3.70281,"Private room",30,1,1.94,365
"14074",39930270,"PISO EXCLUSIVO MADRID CENTRO","Centro","Universidad",40.42369,-3.70581,"Entire home/apt",109,2,0.06,0
"14075",39930912,"PISO LUJO MONTELEON MADRID","Chamberí","Trafalgar",40.43193,-3.70476,"Entire home/apt",106,2,0,0
"14076",39931143,"APARTAMENTO LUJO JORGE JUAN","Salamanca","Goya",40.42339,-3.67295,"Entire home/apt",107,2,0.06,0
"14077",39931537,"Oriente Palace Apartments - Habitación Doble Delux con Balcón","Centro","Palacio",40.41653,-3.71078,"Private room",128,1,0.06,211
"14078",39931566,"Oriente Palace Apartments - Apartamento Superior","Centro","Palacio",40.41844,-3.71203,"Private room",149,1,0,192
"14079",39931581,"Oriente Palace Apartments - Apartamento","Centro","Palacio",40.4183,-3.71107,"Private room",126,1,0.07,198
"14080",39931595,"Oriente Palace Apartments - Estudio twin con vistas","Centro","Palacio",40.41622,-3.71156,"Private room",124,1,0,185
"14081",39931621,"Oriente Palace Apartments - Estudio Interior.","Centro","Palacio",40.41814,-3.71235,"Private room",99,1,0,180
"14082",39931643,"Oriente Palace Apartments - Habitacion doble con vistas","Centro","Palacio",40.4166,-3.71073,"Private room",114,1,0,172
"14083",39931665,"Oriente Palace Apartments - Habitacion Interior","Centro","Palacio",40.41822,-3.71261,"Private room",85,1,0.07,190
"14084",39935683,"Habitación en La Elipa","Ciudad Lineal","Ventas",40.41971,-3.65047,"Private room",100,1,0,0
"14085",39936129,"7 minutos de línea 6 metro Useras de Madrid","Usera","Pradolongo",40.38291,-3.70752,"Private room",23,3,0.41,349
"14086",39937428,"Apartamento 2 Habitaciones","Chamberí","Arapiles",40.43078,-3.71028,"Entire home/apt",55,2,1.19,0
"14087",39938846,"Stylish Duplex with parking - 2BD 2BTH - Almagro","Chamberí","Almagro",40.42996,-3.69248,"Entire home/apt",143,1,0.59,329
"14088",39939031,"Apartamento 100% equipado- Garaje - 1 Hab 2 Baños","Fuencarral - El Pardo","Mirasierra",40.49151,-3.71769,"Entire home/apt",78,2,0.72,157
"14089",39939774,"El rincón de Banús","Ciudad Lineal","Concepción",40.43862,-3.6523,"Entire home/apt",130,3,0,0
"14090",39939903,"Bella Hab para 2 prs a 10 pasos de GRAN VIA(10/10)","Centro","Universidad",40.42068,-3.70375,"Private room",30,1,2.19,0
"14091",39939908,"Apartamento turístico Jardines de Asura","Hortaleza","Canillas",40.45804,-3.65502,"Entire home/apt",96,1,0.35,181
"14092",39940235,"Piso con Cama Matrimonio + Individual","Puente de Vallecas","Palomeras Sureste",40.38121,-3.63069,"Entire home/apt",41,2,0,303
"14093",39940471,"Modern apartment in Madrid","Moncloa - Aravaca","Valdezarza",40.45879,-3.71059,"Entire home/apt",49,3,0.71,327
"14094",39940614,"CUATRO CAMINOS - Nuevos Ministerios","Chamberí","Rios Rosas",40.44607,-3.69958,"Entire home/apt",106,2,0.69,0
"14095",39941146,"2 BED APARTMENT WITH NEW BRAND NEW PARKING.","Retiro","Adelfas",40.40099,-3.67029,"Entire home/apt",38,2,2.27,330
"14096",39947070,"Eco Apartamento Cerca De Retiro - 4 pax","Retiro","Pacífico",40.40359,-3.67737,"Entire home/apt",50,30,0.92,58
"14097",39948469,"Lovely and Renovated Apartment Room 3-1","Usera","Almendrales",40.38602,-3.70407,"Private room",16,1,0.87,0
"14098",39948986,"Lovely and Renovated Apartment Room 3-2","Usera","Moscardó",40.38781,-3.70417,"Private room",21,1,0.93,81
"14099",39949237,"Lovely and Renovated Apartment Room 3-3","Usera","Moscardó",40.38776,-3.7041,"Private room",26,1,0.86,43
"14100",39949666,"Habitación privada, a 15minutos del centro.","Puente de Vallecas","Palomeras Sureste",40.39091,-3.64036,"Private room",23,2,0.12,364
"14101",39950106,"Apartamento  en el corazon de Madrid. Sol  .","Centro","Sol",40.41742,-3.70104,"Entire home/apt",41,30,0.58,0
"14102",39954156,"Enjoy Madrid - City center","Centro","Embajadores",40.41036,-3.69965,"Entire home/apt",89,1,1.46,225
"14103",39955575,"Lagasca Barrio de Salamanca","Salamanca","Castellana",40.43419,-3.68437,"Entire home/apt",117,3,0.13,179
